"State","Crime_Rate","Governor_Party","Death_Penalty_Present"
"AL",409.1,"R","Y"
"AK",758.9,"R","N"
"AZ",431.5,"R","M"
"AR",645.3,"R","Y"
"CA",499.5,"D","M"
"CO",492.5,"D","N"
"CT",150,"D","N"
"DE",383.5,"D","N"
"FL",258.9,"R","Y"
"GA",367,"R","Y"
"HI",259.6,"D","N"
"ID",241.4,"R","Y"
"IL",287.3,"D","N"
"IN",306.2,"R","Y"
"IA",286.5,"R","Y"
"KS",414.6,"D","Y"
"KY",214.1,"D","Y"
"LA",628.6,"D","Y"
"ME",103.3,"D","N"
"MD",398.5,"R","N"
"MA",322,"R","N"
"MI",461,"D","N"
"MN",280.6,"D","N"
"MS",245,"R","Y"
"MO",488,"R","Y"
"MT",417.9,"R","Y"
"NE",282.8,"R","Y"
"NV",454,"D","Y"
"NH",125.6,"R","N"
"NJ",202.9,"D","N"
"NM",780.5,"D","N"
"NY",429.3,"D","N"
"NC",405.1,"D","Y"
"ND",279.6,"R","N"
"OH",293.6,"R","M"
"OK",419.7,"R","Y"
"OR",342.4,"D","M"
"PA",279.9,"D","M"
"RI",172.3,"D","N"
"SC",491.3,"R","Y"
"SD",377.4,"R","Y"
"TN",621.6,"R","M"
"TX",431.9,"R","Y"
"UT",241.8,"R","Y"
"VT",221.9,"R","N"
"VA",234,"R","N"
"WA",375.6,"D","N"
"WV",277.9,"R","N"
"WI",297,"D","N"
"WY",201.9,"R","Y"
